No, Length, Seq, Win, Len
1981, 2974, 2514121, 29200, 2920
1983, 2974, 2517041, 29200, 2920
1986, 4434, 2519961, 29200, 4380
1989, 7354, 2524341, 29200, 7300
1994, 11734, 2531641, 29200, 11680
1998, 8814, 2543321, 29200, 8760
2004, 13194, 2552081, 29200, 13140
2014, 14654, 2565221, 29200, 14600
2018, 4434, 2579821, 29200, 4380
2029, 14654, 2584201, 29200, 14600
2039, 14654, 2598801, 29200, 14600
2042, 2974, 2613401, 29200, 2920
2053, 14654, 2616321, 29200, 14600
2063, 14654, 2630921, 29200, 14600
2066, 2974, 2645521, 29200, 2920
2077, 14654, 2648441, 29200, 14600
2088, 16114, 2663041, 29200, 16060
2090, 1514, 2679101, 29200, 1460
2113, 13194, 2680561, 29200, 13140
2132, 19034, 2693701, 29200, 18980
2133, 23414, 2712681, 29200, 23360
2137, 8814, 2736041, 29200, 8760
2154, 11734, 2744801, 29200, 11680
2179, 1514, 2755021, 29200, 1460
2182, 54, 2756480, 29200, 0
2184, 1514, 2756481, 29200, 1460
2185, 1514, 2757941, 29200, 1460
2187, 17574, 2759401, 29200, 17520
2188, 24874, 2776921, 29200, 24820
2189, 7354, 2801741, 29200, 7300
2226, 26334, 2809041, 29200, 26280
2227, 5894, 2835321, 29200, 5840
2228, 20494, 2841161, 29200, 20440
2236, 11734, 2861601, 29200, 11680
2269, 1514, 2873281, 29200, 1460
2276, 54, 2874740, 29200, 0
2277, 54, 2874740, 29200, 0
2280, 27794, 2874741, 29200, 27740
2287, 2974, 2902481, 29200, 2920
2291, 10274, 2905401, 29200, 10220
2296, 11734, 2915621, 29200, 11680
2301, 10274, 2927301, 29200, 10220
2308, 14654, 2937521, 29200, 14600
2318, 16114, 2952121, 29200, 16060
2320, 1514, 2968181, 29200, 1460
2331, 1514, 2969641, 29200, 1460
2355, 24874, 2971101, 29200, 24820
2356, 5894, 2995921, 29200, 5840
2357, 19034, 3001761, 29200, 18980
2378, 5894, 3020741, 29200, 5840
2397, 1514, 3025121, 29200, 1460
2400, 54, 3026580, 29200, 0
2402, 1514, 3026581, 29200, 1460
2403, 1514, 3028041, 29200, 1460
2405, 4434, 3029501, 29200, 4380
2406, 26334, 3033881, 29200, 26280
2407, 5894, 3060161, 29200, 5840
2408, 7354, 3066001, 29200, 7300
2441, 21954, 3073301, 29200, 21900
2442, 2974, 3095201, 29200, 2920
2443, 21954, 3098121, 29200, 21900
2446, 10274, 3120021, 29200, 10220
2465, 7354, 3130241, 29200, 7300
2489, 1514, 3136081, 29200, 1460
2493, 1514, 3137541, 29200, 1460
2494, 1514, 3139001, 29200, 1460
2496, 21954, 3140461, 29200, 21900
2497, 19034, 3162361, 29200, 18980
2528, 13194, 3181341, 29200, 13140
2529, 17574, 3194481, 29200, 17520
2531, 14654, 3212001, 29200, 14600
2550, 8814, 3226601, 29200, 8760
2569, 54, 3235360, 29200, 0
2570, 54, 3235360, 29200, 0
2572, 54, 3235360, 29200, 0
2575, 23414, 3235361, 29200, 23360
2582, 8814, 3258721, 29200, 8760
2587, 11734, 3267481, 29200, 11680
2593, 11734, 3279161, 29200, 11680
2611, 4434, 3290841, 29200, 4380
2622, 17574, 3295221, 29200, 17520
2623, 10274, 3312741, 29200, 10220
2627, 11734, 3322961, 29200, 11680
2636, 11734, 3334641, 29200, 11680
2642, 8814, 3346321, 29200, 8760
2652, 13194, 3355081, 29200, 13140
2666, 8814, 3368221, 29200, 8760
2684, 1514, 3375521, 29200, 1460
2688, 1514, 3376981, 29200, 1460
2689, 1514, 3378441, 29200, 1460
2691, 7354, 3379901, 29200, 7300
2692, 19034, 3387201, 29200, 18980
2693, 10274, 3406181, 29200, 10220
2696, 2974, 3416401, 29200, 2920
2706, 13194, 3419321, 29200, 13140
2716, 13194, 3432461, 29200, 13140
2735, 5894, 3445601, 29200, 5840
2736, 19034, 3451441, 29200, 18980
2738, 4434, 3470421, 29200, 4380
2745, 8814, 3474801, 29200, 8760
2773, 14654, 3483561, 29200, 14600
2774, 14654, 3498161, 29200, 14600
2775, 2974, 3512761, 29200, 2920
2780, 14654, 3515681, 29200, 14600
2790, 14654, 3530281, 29200, 14600
2793, 2974, 3544881, 29200, 2920
2810, 10274, 3547801, 29200, 10220
2832, 21954, 3558021, 29200, 21900
2833, 21954, 3579921, 29200, 21900
2840, 10274, 3601821, 29200, 10220
2852, 16114, 3612041, 29200, 16060
2863, 16114, 3628101, 29200, 16060
2875, 16114, 3644161, 29200, 16060
2886, 16114, 3660221, 29200, 16060
2899, 17574, 3676281, 29200, 17520
2918, 14654, 3693801, 29200, 14600
2922, 17574, 3708401, 29200, 17520
2932, 14654, 3725921, 29200, 14600
2963, 4434, 3740521, 29200, 4380
2974, 26334, 3744901, 29200, 26280
2975, 1514, 3771181, 29200, 1460
2976, 26334, 3772641, 29200, 26280
2980, 5894, 3798921, 29200, 5840
3003, 1514, 3804761, 29200, 1460
3020, 1514, 3804761, 29200, 1460
3024, 1514, 3806221, 29200, 1460
3025, 1514, 3807681, 29200, 1460
3027, 27794, 3809141, 29200, 27740
3028, 24874, 3836881, 29200, 24820
3066, 7354, 3861701, 29200, 7300
3067, 27794, 3869001, 29200, 27740
3068, 4434, 3896741, 29200, 4380
3074, 14654, 3901121, 29200, 14600
3106, 1514, 3915721, 29200, 1460
3110, 54, 3917180, 29200, 0
3111, 54, 3917180, 29200, 0
3114, 16114, 3917181, 29200, 16060
3118, 7354, 3933241, 29200, 7300
3122, 8814, 3940541, 29200, 8760
3127, 8814, 3949301, 29200, 8760
3133, 7354, 3958061, 29200, 7300
3150, 1514, 3965361, 29200, 1460
3155, 13194, 3966821, 29200, 13140
3156, 13194, 3979961, 29200, 13140
3159, 4434, 3993101, 29200, 4380
3167, 10274, 3997481, 29200, 10220
3175, 10274, 4007701, 29200, 10220
3182, 10274, 4017921, 29200, 10220
3184, 1514, 4028141, 29200, 1460
3192, 10274, 4029601, 29200, 10220
3200, 10274, 4039821, 29200, 10220
3213, 5894, 4050041, 29200, 5840
3226, 54, 4055880, 29200, 0
3227, 54, 4055880, 29200, 0
3229, 54, 4055880, 29200, 0
3232, 5894, 4055881, 29200, 5840
3233, 7354, 4061721, 29200, 7300
3236, 7354, 4069021, 29200, 7300
3240, 8814, 4076321, 29200, 8760
3244, 8814, 4085081, 29200, 8760
3251, 10274, 4093841, 29200, 10220
3262, 10274, 4104061, 29200, 10220
3268, 7354, 4114281, 29200, 7300
3285, 4434, 4121581, 29200, 4380
3286, 14654, 4125961, 29200, 14600
3287, 10274, 4140561, 29200, 10220
3293, 7354, 4150781, 29200, 7300
3301, 10274, 4158081, 29200, 10220
3309, 11734, 4168301, 29200, 11680
3324, 2974, 4179981, 29200, 2920
3335, 54, 4182900, 29200, 0
3336, 54, 4182900, 29200, 0
3338, 54, 4182900, 29200, 0
3341, 7354, 4182901, 29200, 7300
3342, 7354, 4190201, 29200, 7300
3345, 5894, 4197501, 29200, 5840
3349, 8814, 4203341, 29200, 8760
3353, 8814, 4212101, 29200, 8760
3355, 1514, 4220861, 29200, 1460
3361, 10274, 4222321, 29200, 10220
3368, 10274, 4232541, 29200, 10220
3389, 4434, 4242761, 29200, 4380
3395, 7354, 4247141, 29200, 7300
3396, 16114, 4254441, 29200, 16060
3398, 11734, 4270501, 29200, 11680
3402, 4434, 4282181, 29200, 4380
3410, 11734, 4286561, 29200, 11680
3419, 11734, 4298241, 29200, 11680
3426, 8814, 4309921, 29200, 8760
3435, 13194, 4318681, 29200, 13140
3445, 13194, 4331821, 29200, 13140
3450, 5894, 4344961, 29200, 5840
3459, 13194, 4350801, 29200, 13140
3469, 13194, 4363941, 29200, 13140
3474, 5894, 4377081, 29200, 5840
3483, 13194, 4382921, 29200, 13140
3493, 13194, 4396061, 29200, 13140
3498, 5894, 4409201, 29200, 5840
3508, 14654, 4415041, 29200, 14600
3519, 14654, 4429641, 29200, 14600
3522, 2974, 4444241, 29200, 2920
3532, 14654, 4447161, 29200, 14600
3543, 14654, 4461761, 29200, 14600
3546, 2974, 4476361, 29200, 2920
3556, 14654, 4479281, 29200, 14600
3567, 14654, 4493881, 29200, 14600
3570, 2974, 4508481, 29200, 2920
3581, 16114, 4511401, 29200, 16060
3593, 16114, 4527461, 29200, 16060
3604, 16114, 4543521, 29200, 16060
3616, 16114, 4559581, 29200, 16060
3648, 2974, 4575641, 29200, 2920
3652, 54, 4578560, 29200, 0
3653, 54, 4578560, 29200, 0
3655, 54, 4578560, 29200, 0
3658, 24874, 4578561, 29200, 24820
3664, 4434, 4603381, 29200, 4380
3668, 8814, 4607761, 29200, 8760
3673, 11734, 4616521, 29200, 11680
3681, 7354, 4628201, 29200, 7300
3702, 4434, 4635501, 29200, 4380
3703, 19034, 4639881, 29200, 18980
3704, 13194, 4658861, 29200, 13140
3711, 10274, 4672001, 29200, 10220
3723, 11734, 4682221, 29200, 11680
3748, 1514, 4693901, 29200, 1460
3751, 54, 4695360, 29200, 0
3752, 54, 4695360, 29200, 0
3754, 54, 4695360, 29200, 0
3757, 8814, 4695361, 29200, 8760
3758, 5894, 4704121, 29200, 5840
3761, 5894, 4709961, 29200, 5840
3765, 8814, 4715801, 29200, 8760
3769, 8814, 4724561, 29200, 8760
3771, 2974, 4733321, 29200, 2920
3776, 11734, 4736241, 29200, 11680
3794, 4434, 4747921, 29200, 4380
3805, 16114, 4752301, 29200, 16060
3806, 19034, 4768361, 29200, 18980
3813, 13194, 4787341, 29200, 13140
3823, 14654, 4800481, 29200, 14600
3834, 14654, 4815081, 29200, 14600
3837, 2974, 4829681, 29200, 2920
3856, 7354, 4832601, 29200, 7300
3872, 54, 4839900, 29200, 0
3873, 54, 4839900, 29200, 0
3875, 54, 4839900, 29200, 0
3878, 20494, 4839901, 29200, 20440
3883, 4434, 4860341, 29200, 4380
3887, 10274, 4864721, 29200, 10220
3892, 11734, 4874941, 29200, 11680
3897, 10274, 4886621, 29200, 10220
3904, 13194, 4896841, 29200, 13140
3919, 4434, 4909981, 29200, 4380
3936, 14654, 4914361, 29200, 14600
3937, 20494, 4928961, 29200, 20440
3952, 4434, 4949401, 29200, 4380
3967, 54, 4953780, 29200, 0
3968, 54, 4953780, 29200, 0
3971, 7354, 4953781, 29200, 7300
3972, 7354, 4961081, 29200, 7300
3975, 5894, 4968381, 29200, 5840
3979, 8814, 4974221, 29200, 8760
3983, 8814, 4982981, 29200, 8760
3985, 1514, 4991741, 29200, 1460
3990, 13194, 4993201, 29200, 13140
4010, 2974, 5006341, 29200, 2920
4018, 16114, 5009261, 29200, 16060
4019, 20494, 5025321, 29200, 20440
4024, 11734, 5045761, 29200, 11680
4036, 13194, 5057441, 29200, 13140
4064, 54, 5070580, 29200, 0
4065, 54, 5070580, 29200, 0
4068, 2974, 5070581, 29200, 2920
4069, 2974, 5073501, 29200, 2920
4070, 2974, 5076421, 29200, 2920
4071, 2974, 5079341, 29200, 2920
4073, 2974, 5082261, 29200, 2920
4074, 2974, 5085181, 29200, 2920
4077, 1514, 5088101, 29200, 1460
4078, 2974, 5089561, 29200, 2920
4080, 2974, 5092481, 29200, 2920
4084, 2974, 5095401, 29200, 2920
4085, 4434, 5098321, 29200, 4380
4087, 4434, 5102701, 29200, 4380
4090, 7354, 5107081, 29200, 7300
4096, 7354, 5114381, 29200, 7300
4099, 13194, 5121681, 29200, 13140
4104, 5894, 5134821, 29200, 5840
4113, 13194, 5140661, 29200, 13140
4123, 14654, 5153801, 29200, 14600
4133, 14654, 5168401, 29200, 14600
4136, 2974, 5183001, 29200, 2920
4147, 14654, 5185921, 29200, 14600
4179, 17574, 5200521, 29200, 17520
4180, 23414, 5218041, 29200, 23360
4192, 2974, 5241401, 29200, 2920
4212, 54, 5244320, 29200, 0
4213, 54, 5244320, 29200, 0
4216, 5894, 5244321, 29200, 5840
4217, 7354, 5250161, 29200, 7300
4219, 2974, 5257461, 29200, 2920
4221, 4434, 5260381, 29200, 4380
4224, 5894, 5264761, 29200, 5840
4228, 8814, 5270601, 29200, 8760
4235, 2974, 5279361, 29200, 2920
4238, 14654, 5282281, 29200, 14600
4244, 4434, 5296881, 29200, 4380
4264, 13194, 5301261, 29200, 13140
4265, 19034, 5314401, 29200, 18980
4271, 13194, 5333381, 29200, 13140
4281, 16114, 5346521, 29200, 16060
4311, 54, 5362580, 29200, 0
4312, 54, 5362580, 29200, 0
4314, 54, 5362580, 29200, 0
4317, 8814, 5362581, 29200, 8760
4318, 5894, 5371341, 29200, 5840
4320, 1514, 5377181, 29200, 1460
4322, 4434, 5378641, 29200, 4380
4325, 5894, 5383021, 29200, 5840
4329, 8814, 5388861, 29200, 8760
4334, 11734, 5397621, 29200, 11680
4336, 1514, 5409301, 29200, 1460
4348, 11734, 5410761, 29200, 11680
4359, 19034, 5422441, 29200, 18980
4360, 1514, 5441421, 29200, 1460
4362, 7354, 5442881, 29200, 7300
4372, 14654, 5450181, 29200, 14600
4379, 10274, 5464781, 29200, 10220
4389, 16114, 5475001, 29200, 16060
4401, 16114, 5491061, 29200, 16060
4418, 2974, 5507121, 29200, 2920
4436, 23414, 5510041, 29200, 23360
4437, 5894, 5533401, 29200, 5840
4438, 17574, 5539241, 29200, 17520
4449, 14654, 5556761, 29200, 14600
4461, 17574, 5571361, 29200, 17520
4472, 14654, 5588881, 29200, 14600
4484, 17574, 5603481, 29200, 17520
4495, 14654, 5621001, 29200, 14600
4507, 17574, 5635601, 29200, 17520
4518, 14654, 5653121, 29200, 14600
4531, 19034, 5667721, 29200, 18980
4541, 13194, 5686701, 29200, 13140
4554, 19034, 5699841, 29200, 18980
4564, 13194, 5718821, 29200, 13140
4577, 19034, 5731961, 29200, 18980
4587, 13194, 5750941, 29200, 13140
4601, 20494, 5764081, 29200, 20440
4612, 11734, 5784521, 29200, 11680
4624, 20494, 5796201, 29200, 20440
4633, 11734, 5816641, 29200, 11680
4647, 20494, 5828321, 29200, 20440
4656, 11734, 5848761, 29200, 11680
4679, 14654, 5860441, 29200, 14600
4710, 54, 5875040, 29200, 0
4711, 54, 5875040, 29200, 0
4713, 54, 5875040, 29200, 0
4716, 10274, 5875041, 29200, 10220
4718, 2974, 5885261, 29200, 2920
4719, 2974, 5888181, 29200, 2920
4724, 1514, 5891101, 29200, 1460
4725, 5894, 5892561, 29200, 5840
4726, 5894, 5898401, 29200, 5840
4730, 8814, 5904241, 29200, 8760
4736, 11734, 5913001, 29200, 11680
4741, 14654, 5924681, 29200, 14600
4748, 17574, 5939281, 29200, 17520
4759, 17574, 5956801, 29200, 17520
4769, 14654, 5974321, 29200, 14600
4782, 17574, 5988921, 29200, 17520
4792, 14654, 6006441, 29200, 14600
4806, 19034, 6021041, 29200, 18980
4815, 13194, 6040021, 29200, 13140
4829, 19034, 6053161, 29200, 18980
4838, 13194, 6072141, 29200, 13140
4858, 14654, 6085281, 29200, 14600
4889, 17574, 6099881, 29200, 17520
4890, 24874, 6117401, 29200, 24820
4921, 54, 6142220, 29200, 0
4922, 54, 6142220, 29200, 0
4925, 7354, 6142221, 29200, 7300
4926, 7354, 6149521, 29200, 7300
4929, 5894, 6156821, 29200, 5840
4933, 8814, 6162661, 29200, 8760
4937, 8814, 6171421, 29200, 8760
4939, 1514, 6180181, 29200, 1460
4944, 11734, 6181641, 29200, 11680
4967, 20494, 6193321, 29200, 20440
4968, 24874, 6213761, 29200, 24820
4971, 7354, 6238581, 29200, 7300
4984, 5894, 6245881, 29200, 5840
5011, 1514, 6250261, 29200, 1460
5015, 1514, 6251721, 29200, 1460
5016, 1514, 6253181, 29200, 1460
5018, 23414, 6254641, 29200, 23360
5019, 27794, 6278001, 29200, 27740
5022, 2974, 6305741, 29200, 2920
5023, 1514, 6308661, 29200, 1460
5043, 1514, 6310121, 29200, 1460
5063, 27794, 6311581, 29200, 27740
5064, 2974, 6339321, 29200, 2920
5065, 23414, 6342241, 29200, 23360
5072, 8814, 6365601, 29200, 8760
5076, 4434, 6374361, 29200, 4380
5095, 10274, 6378741, 29200, 10220
5123, 54, 6388960, 29200, 0
5124, 54, 6388960, 29200, 0
5127, 14654, 6388961, 29200, 14600
5129, 2974, 6403561, 29200, 2920
5132, 5894, 6406481, 29200, 5840
5136, 8814, 6412321, 29200, 8760
5141, 11734, 6421081, 29200, 11680
5146, 5894, 6432761, 29200, 5840
5150, 14654, 6438601, 29200, 14600
5178, 17574, 6453201, 29200, 17520
5179, 26334, 6470721, 29200, 26280
5180, 5894, 6497001, 29200, 5840
